EMPRESA,ORIGEM,DESTINO,ANO,MES,TARIFA_MEDIA,ASSENTOS,PASS_PAGOS,ROTA
GLO,SSA,MCP,2024,5,322.09,179,177,SSA-MCP
AZU,MAO,RBR,2023,12,209.3,198,96,MAO-RBR
AZU,PVH,CGB,2022,6,507.09,101,82,PVH-CGB
AZU,REC,SDU,2022,11,270.7,198,87,REC-SDU
GLO,PMW,SLZ,2023,10,687.41,122,177,PMW-SLZ
TAM,BSB,GYN,2022,10,759.11,117,122,BSB-GYN
GLO,CGR,CGH,2023,1,714.15,197,82,CGR-CGH
GLO,BEL,GYN,2023,4,649.85,125,64,BEL-GYN
TAM,CWB,GYN,2024,5,561.06,137,61,CWB-GYN
AZU,CGB,CGR,2024,6,382.99,157,55,CGB-CGR
TAM,REC,NVT,2022,4,423.4,151,54,REC-NVT
GLO,NAT,BVB,2022,10,873.27,191,133,NAT-BVB
GLO,MCZ,RBR,2022,3,295.7,152,93,MCZ-RBR
AZU,GIG,RBR,2022,5,659.97,117,126,GIG-RBR
AZU,THE,JPA,2022,6,594.84,139,128,THE-JPA
GLO,RBR,CNF,2024,11,525.21,185,86,RBR-CNF
TAM,MCP,GIG,2022,1,364.06,192,161,MCP-GIG
TAM,CGB,SDU,2022,10,582.81,117,131,CGB-SDU
AZU,FLN,GYN,2024,5,897.85,125,103,FLN-GYN
GLO,VCP,PVH,2022,5,475.58,170,76,VCP-PVH
VBL,CNF,BEL,2023,3,335.16,164,170,CNF-BEL
AZU,THE,GYN,2022,2,373.97,128,128,THE-GYN
GLO,MAO,BVB,2023,12,187.41,190,73,MAO-BVB
VBL,MCZ,JPA,2023,9,1094.23,179,147,MCZ-JPA
GLO,MAO,THE,2024,3,1004.63,190,174,MAO-THE
GLO,RBR,GYN,2022,4,718.94,128,129,RBR-GYN
GLO,BSB,THE,2023,2,1810.83,143,176,BSB-THE
TAM,POA,SDU,2022,1,402.03,130,187,POA-SDU
TAM,JPA,CWB,2023,2,593.94,162,94,JPA-CWB
GLO,JPA,RBR,2022,2,187.49,104,116,JPA-RBR
TAM,VCP,VCP,2023,11,862.7,154,126,VCP-VCP
GLO,SLZ,CGB,2023,2,281.77,155,172,SLZ-CGB
TAM,BEL,JPA,2024,7,487.26,109,178,BEL-JPA
AZU,NAT,BEL,2022,9,552.59,157,184,NAT-BEL
TAM,FOR,POA,2023,4,257.66,152,154,FOR-POA
PAM,PMW,SLZ,2022,5,883.63,142,183,PMW-SLZ
TAM,AJU,THE,2023,5,451.48,188,120,AJU-THE
GLO,GRU,PVH,2022,11,667.51,129,109,GRU-PVH
TAM,SSA,VCP,2024,4,324.74,197,85,SSA-VCP
PAM,THE,REC,2023,5,349.86,170,66,THE-REC
AZU,GRU,REC,2023,3,364.75,119,89,GRU-REC
AZU,CWB,MAO,2023,7,357.93,193,131,CWB-MAO
AZU,PVH,SDU,2024,3,278.49,127,140,PVH-SDU
GLO,CWB,BVB,2022,2,244.39,126,59,CWB-BVB
AZU,CGH,SSA,2022,12,292.03,164,123,CGH-SSA
TAM,SLZ,SLZ,2024,5,479.82,164,169,SLZ-SLZ
TAM,CNF,CWB,2024,12,327.84,153,95,CNF-CWB
GLO,BEL,REC,2023,5,1952.88,165,139,BEL-REC
TAM,CNF,NVT,2022,9,695.42,168,188,CNF-NVT
VBL,POA,CGH,2023,8,290.47,127,163,POA-CGH
GLO,FOR,THE,2023,7,269.58,181,78,FOR-THE
TAM,GYN,BSB,2022,9,295.36,129,131,GYN-BSB
AZU,REC,SSA,2022,6,150.21,101,99,REC-SSA
AZU,SSA,CNF,2023,1,159.26,112,149,SSA-CNF
TAM,MAO,BVB,2023,4,371.88,170,73,MAO-BVB
TAM,PVH,MAO,2023,1,612.25,115,83,PVH-MAO
AZU,NVT,MCZ,2023,9,172.05,130,68,NVT-MCZ
PAM,FLN,CNF,2023,1,339.38,199,164,FLN-CNF
AZU,BSB,MCZ,2022,6,860.26,154,138,BSB-MCZ
TAM,BVB,SDU,2022,7,403.23,164,87,BVB-SDU
AZU,GRU,PMW,2023,11,460.46,161,146,GRU-PMW
TAM,CGR,SDU,2023,4,190.62,175,63,CGR-SDU
TAM,VCP,GRU,2023,1,433.53,165,94,VCP-GRU
VBL,CNF,MAO,2024,12,193.73,135,93,CNF-MAO
VBL,NVT,BSB,2022,12,339.53,169,143,NVT-BSB
TAM,SLZ,CGB,2024,3,227.26,141,61,SLZ-CGB
AZU,MCZ,GYN,2024,8,1310.28,165,127,MCZ-GYN
GLO,NVT,SLZ,2022,10,268.02,181,187,NVT-SLZ
AZU,CWB,CGB,2023,6,829.6,172,70,CWB-CGB
TAM,PVH,BVB,2022,8,1150.29,162,110,PVH-BVB
GLO,GRU,AJU,2023,7,298.06,120,72,GRU-AJU
AZU,GYN,PVH,2022,7,238.63,126,71,GYN-PVH
GLO,FOR,RBR,2023,9,542.91,188,169,FOR-RBR
AZU,VCP,MCP,2022,4,860.02,143,160,VCP-MCP
PAM,CGB,CGH,2023,7,391.59,198,95,CGB-CGH
GLO,GYN,CNF,2024,8,1062.76,169,106,GYN-CNF
GLO,FLN,GIG,2024,11,1168.27,174,63,FLN-GIG
PAM,NAT,AJU,2023,4,452.49,195,76,NAT-AJU
TAM,PMW,CGR,2022,10,155.48,105,120,PMW-CGR
TAM,CGH,GIG,2024,1,1273.38,118,114,CGH-GIG
GLO,CNF,FLN,2022,10,275.88,161,74,CNF-FLN
VBL,MAO,NVT,2022,8,509.41,133,188,MAO-NVT
TAM,JPA,JPA,2022,3,553.11,158,188,JPA-JPA
AZU,MCZ,PMW,2023,10,233.78,178,185,MCZ-PMW
VBL,PMW,GYN,2024,3,435.9,174,98,PMW-GYN
TAM,SDU,POA,2024,12,451.72,194,87,SDU-POA
GLO,NAT,SLZ,2022,2,1518.6,183,172,NAT-SLZ
VBL,CGH,MAO,2022,1,603.69,163,165,CGH-MAO
AZU,REC,SLZ,2022,10,375.07,194,118,REC-SLZ
VBL,BVB,MCP,2023,7,954.12,180,151,BVB-MCP
GLO,JPA,FOR,2024,11,276.29,180,91,JPA-FOR
TAM,AJU,PVH,2024,9,536.41,176,136,AJU-PVH
GLO,POA,VCP,2022,6,554.89,182,167,POA-VCP
GLO,GRU,SLZ,2022,2,247.71,161,114,GRU-SLZ
AZU,REC,MCZ,2024,5,1131.41,123,66,REC-MCZ
GLO,REC,GIG,2024,9,354.28,103,77,REC-GIG
GLO,CNF,CNF,2023,9,506.94,117,67,CNF-CNF
GLO,CGH,AJU,2022,5,597.27,196,122,CGH-AJU
TAM,MCP,SSA,2023,5,235.27,132,87,MCP-SSA
GLO,NVT,NAT,2022,11,517.72,142,101,NVT-NAT
TAM,SDU,NVT,2022,4,352.81,156,154,SDU-NVT
GLO,RBR,NAT,2023,11,246.37,139,96,RBR-NAT
AZU,PMW,BEL,2024,10,1248.58,189,82,PMW-BEL
GLO,GYN,GRU,2022,11,1009.8,164,139,GYN-GRU
AZU,POA,BVB,2024,3,358.49,109,146,POA-BVB
AZU,CNF,THE,2023,7,258.49,187,99,CNF-THE
AZU,GIG,MCP,2023,10,265.54,183,168,GIG-MCP
GLO,PMW,FLN,2024,2,259.92,153,183,PMW-FLN
TAM,VCP,GYN,2023,7,273.2,167,164,VCP-GYN
GLO,BVB,CNF,2023,7,327.99,157,62,BVB-CNF
TAM,PMW,THE,2024,8,612.29,139,110,PMW-THE
TAM,CGR,CNF,2023,1,412.22,145,77,CGR-CNF
AZU,NAT,NVT,2024,11,704.12,187,157,NAT-NVT
GLO,PMW,VCP,2023,5,429.74,131,133,PMW-VCP
AZU,GYN,BEL,2024,3,290.92,100,132,GYN-BEL
AZU,NAT,REC,2022,11,408.45,196,156,NAT-REC
TAM,CNF,CGH,2024,8,1023.74,103,51,CNF-CGH
TAM,REC,THE,2022,5,472.73,135,168,REC-THE
PAM,CWB,AJU,2022,4,318.57,140,180,CWB-AJU
GLO,THE,JPA,2023,12,923.4,156,160,THE-JPA
AZU,PVH,GIG,2022,8,572.36,129,114,PVH-GIG
VBL,REC,POA,2023,4,760.92,112,154,REC-POA
TAM,CNF,VCP,2024,3,230.15,142,105,CNF-VCP
AZU,BSB,NAT,2023,4,345.01,176,154,BSB-NAT
GLO,BEL,CGR,2022,11,611.21,187,134,BEL-CGR
AZU,CWB,CGH,2022,2,464.25,198,116,CWB-CGH
TAM,GYN,RBR,2023,3,388.97,128,80,GYN-RBR
GLO,CGR,CGR,2024,2,723.04,122,167,CGR-CGR
TAM,CGR,CWB,2023,7,233.2,136,102,CGR-CWB
TAM,POA,CNF,2022,4,380.02,123,174,POA-CNF
VBL,FOR,SDU,2023,2,630.31,175,100,FOR-SDU
GLO,POA,PMW,2022,9,491.93,152,96,POA-PMW
PAM,MCZ,PVH,2022,6,485.68,110,95,MCZ-PVH
GLO,MCP,SDU,2022,9,329.52,127,111,MCP-SDU
GLO,CWB,CGB,2023,12,336.01,194,125,CWB-CGB
GLO,SSA,FLN,2023,11,299.08,101,105,SSA-FLN
AZU,CWB,MCZ,2023,7,799.27,188,179,CWB-MCZ
VBL,PMW,THE,2022,3,584.92,126,62,PMW-THE
TAM,PMW,GYN,2024,9,720.81,146,137,PMW-GYN
GLO,AJU,THE,2024,8,337.15,101,174,AJU-THE
TAM,PVH,BEL,2024,2,875.31,102,134,PVH-BEL
TAM,PVH,SLZ,2024,4,303.5,111,168,PVH-SLZ
AZU,BSB,PVH,2023,12,979.47,166,155,BSB-PVH
TAM,CWB,THE,2023,8,311.38,124,135,CWB-THE
PAM,FOR,PVH,2024,5,327.52,165,116,FOR-PVH
TAM,MCZ,CWB,2023,6,459.63,106,120,MCZ-CWB
AZU,CWB,FOR,2023,12,243.49,137,94,CWB-FOR
TAM,SDU,VCP,2023,2,327.63,144,60,SDU-VCP
GLO,CNF,CNF,2023,1,475.57,162,51,CNF-CNF
TAM,GIG,BSB,2023,4,435.59,114,75,GIG-BSB
GLO,FLN,JPA,2024,4,206.14,192,115,FLN-JPA
GLO,VCP,GIG,2024,9,1440.93,101,56,VCP-GIG
TAM,CNF,NAT,2023,1,281.78,111,124,CNF-NAT
GLO,JPA,JPA,2023,10,655.54,143,168,JPA-JPA
TAM,NVT,CGB,2022,6,344.14,127,172,NVT-CGB
VBL,BVB,CGH,2023,10,401.69,167,151,BVB-CGH
VBL,NAT,PVH,2023,3,896.0,126,145,NAT-PVH
TAM,AJU,AJU,2024,12,348.66,151,170,AJU-AJU
AZU,GIG,FOR,2024,11,408.39,122,107,GIG-FOR
TAM,VCP,CWB,2022,8,615.55,184,108,VCP-CWB
TAM,BSB,REC,2024,1,138.74,103,185,BSB-REC
AZU,SDU,CGB,2023,2,320.94,158,184,SDU-CGB
GLO,RBR,NAT,2024,4,795.53,191,168,RBR-NAT
GLO,POA,NAT,2024,3,410.32,134,170,POA-NAT
GLO,GRU,POA,2022,3,507.45,116,74,GRU-POA
AZU,FLN,GIG,2024,7,669.74,126,178,FLN-GIG
GLO,THE,BVB,2022,1,456.77,106,124,THE-BVB
GLO,CGR,GYN,2023,8,354.47,190,72,CGR-GYN
TAM,AJU,SDU,2024,9,580.74,119,125,AJU-SDU
AZU,REC,MCP,2022,7,306.89,183,148,REC-MCP
AZU,REC,CGB,2022,4,766.89,121,76,REC-CGB
AZU,BVB,BSB,2022,9,689.62,125,146,BVB-BSB
AZU,GIG,BEL,2023,6,459.41,133,61,GIG-BEL
TAM,CGH,CGB,2024,5,539.55,162,67,CGH-CGB
AZU,GRU,BVB,2022,4,436.31,186,161,GRU-BVB
GLO,SSA,BVB,2023,11,453.93,153,136,SSA-BVB
TAM,GIG,BEL,2023,6,420.07,196,62,GIG-BEL
GLO,CWB,GYN,2022,11,104.47,173,160,CWB-GYN
AZU,SSA,PVH,2022,10,629.63,113,187,SSA-PVH
TAM,MCP,CGH,2024,3,293.59,135,96,MCP-CGH
GLO,CWB,FLN,2023,2,604.82,142,157,CWB-FLN
GLO,BVB,CNF,2024,10,541.42,171,135,BVB-CNF
TAM,THE,SDU,2024,1,418.17,168,59,THE-SDU
AZU,NAT,PVH,2022,7,543.75,124,140,NAT-PVH
GLO,BEL,THE,2023,7,312.02,177,172,BEL-THE
TAM,GRU,MCZ,2024,11,256.72,112,59,GRU-MCZ
VBL,CGB,CNF,2022,3,437.36,145,87,CGB-CNF
AZU,FOR,REC,2022,8,331.55,109,125,FOR-REC
GLO,VCP,BSB,2022,6,362.99,187,176,VCP-BSB
AZU,JPA,GYN,2023,12,461.78,149,77,JPA-GYN
GLO,CGB,CGR,2023,9,389.38,148,162,CGB-CGR
GLO,GRU,GIG,2022,6,314.69,197,125,GRU-GIG
AZU,SSA,BEL,2024,2,393.09,154,125,SSA-BEL
AZU,PMW,MCP,2024,4,230.13,142,95,PMW-MCP
AZU,PVH,RBR,2024,11,332.2,121,144,PVH-RBR
TAM,BVB,MCZ,2022,4,1371.83,177,65,BVB-MCZ
TAM,POA,REC,2024,7,646.93,112,150,POA-REC
TAM,MAO,THE,2024,4,459.48,177,187,MAO-THE
TAM,CWB,MAO,2024,2,301.39,145,135,CWB-MAO
AZU,NAT,AJU,2024,11,440.12,108,126,NAT-AJU
TAM,VCP,SLZ,2023,12,619.73,123,71,VCP-SLZ
GLO,NVT,GIG,2022,1,649.04,131,136,NVT-GIG
TAM,CWB,GIG,2024,6,735.9,160,82,CWB-GIG
AZU,SSA,NVT,2023,7,419.2,190,143,SSA-NVT
GLO,NVT,GRU,2024,12,216.45,150,117,NVT-GRU
TAM,PVH,GIG,2023,1,1086.04,152,114,PVH-GIG
GLO,REC,NAT,2023,2,789.37,157,105,REC-NAT
TAM,JPA,CGR,2024,2,616.8,194,179,JPA-CGR
TAM,CWB,THE,2022,12,1364.66,153,65,CWB-THE
TAM,RBR,BVB,2023,4,245.56,146,110,RBR-BVB
GLO,AJU,POA,2024,9,426.53,110,77,AJU-POA
AZU,FLN,RBR,2023,4,871.21,120,100,FLN-RBR
AZU,GRU,POA,2024,11,417.35,117,136,GRU-POA
TAM,GYN,NAT,2022,7,266.33,159,102,GYN-NAT
GLO,VCP,CGB,2022,3,1317.83,109,118,VCP-CGB
VBL,MCP,GRU,2024,9,1010.0,126,178,MCP-GRU
TAM,AJU,CWB,2023,8,156.31,181,177,AJU-CWB
TAM,CNF,CNF,2022,12,1077.59,165,79,CNF-CNF
GLO,SLZ,MCP,2024,6,541.49,189,71,SLZ-MCP
TAM,SLZ,BSB,2023,11,329.29,139,140,SLZ-BSB
GLO,JPA,REC,2023,7,460.82,144,175,JPA-REC
VBL,JPA,PVH,2024,12,237.87,151,75,JPA-PVH
TAM,FOR,SDU,2022,4,680.06,197,69,FOR-SDU
AZU,MCP,VCP,2024,2,815.59,184,169,MCP-VCP
GLO,REC,FLN,2024,10,562.07,115,141,REC-FLN
TAM,GIG,FOR,2022,6,1118.32,133,72,GIG-FOR
GLO,CGH,BEL,2024,10,174.88,158,115,CGH-BEL
GLO,MAO,MAO,2024,12,1104.11,177,125,MAO-MAO
AZU,CGR,MAO,2024,5,561.35,136,100,CGR-MAO
GLO,SDU,PVH,2022,12,1079.02,110,104,SDU-PVH
AZU,BEL,BVB,2024,5,510.86,186,151,BEL-BVB
GLO,CGR,GYN,2022,6,355.34,178,186,CGR-GYN
AZU,SDU,GYN,2022,3,571.95,139,50,SDU-GYN
TAM,POA,AJU,2024,9,441.06,157,118,POA-AJU
GLO,CNF,GYN,2023,3,337.61,132,136,CNF-GYN
AZU,AJU,NVT,2023,11,363.7,181,102,AJU-NVT
TAM,CGB,GRU,2022,6,843.32,132,111,CGB-GRU
AZU,GIG,THE,2023,8,381.04,195,159,GIG-THE
VBL,CGR,SSA,2022,2,1001.89,185,130,CGR-SSA
TAM,REC,THE,2024,5,561.06,193,69,REC-THE
VBL,GRU,GIG,2024,1,953.89,139,87,GRU-GIG
TAM,BSB,SSA,2024,6,923.72,170,175,BSB-SSA
AZU,GIG,GRU,2024,7,900.47,184,75,GIG-GRU
GLO,CNF,MCZ,2023,5,1305.77,158,184,CNF-MCZ
TAM,CGB,JPA,2024,4,993.24,199,146,CGB-JPA
TAM,BSB,POA,2022,6,614.53,121,118,BSB-POA
TAM,GYN,GIG,2024,1,650.32,164,149,GYN-GIG
GLO,RBR,AJU,2024,4,461.62,172,114,RBR-AJU
AZU,BSB,THE,2022,4,690.76,119,110,BSB-THE
GLO,SDU,MAO,2023,12,878.8,162,122,SDU-MAO
GLO,PMW,BEL,2024,7,895.34,175,51,PMW-BEL
GLO,THE,SSA,2024,6,314.47,190,79,THE-SSA
AZU,PMW,FLN,2024,12,743.34,123,51,PMW-FLN
TAM,SLZ,GIG,2022,8,538.5,128,57,SLZ-GIG
AZU,SLZ,MCP,2023,7,412.62,199,157,SLZ-MCP
AZU,FLN,FOR,2022,5,507.62,167,171,FLN-FOR
GLO,MAO,MAO,2022,4,512.77,126,166,MAO-MAO
TAM,FOR,JPA,2023,10,248.54,144,80,FOR-JPA
GLO,NAT,CGB,2023,7,446.23,196,186,NAT-CGB
VBL,GIG,SLZ,2022,12,1329.42,168,103,GIG-SLZ
AZU,GRU,CGR,2022,9,312.32,132,141,GRU-CGR
AZU,NVT,BVB,2023,7,529.17,142,152,NVT-BVB
TAM,REC,FLN,2023,4,255.22,185,188,REC-FLN
AZU,FLN,PMW,2022,5,206.8,191,95,FLN-PMW
GLO,GIG,PVH,2022,6,197.44,130,111,GIG-PVH
GLO,PVH,CGB,2024,3,298.29,118,98,PVH-CGB
GLO,JPA,POA,2023,7,911.17,131,130,JPA-POA
GLO,CGH,CNF,2022,3,250.41,114,65,CGH-CNF
TAM,CGH,FOR,2023,3,741.57,138,124,CGH-FOR
GLO,AJU,PVH,2022,9,757.22,136,80,AJU-PVH
AZU,CGH,CGH,2022,7,834.46,118,187,CGH-CGH
TAM,GRU,VCP,2023,12,242.73,113,64,GRU-VCP
TAM,MCP,BSB,2022,2,1000.65,137,109,MCP-BSB
TAM,BVB,BEL,2022,2,203.04,104,155,BVB-BEL
GLO,JPA,GIG,2022,4,500.42,152,170,JPA-GIG
GLO,CGR,NAT,2024,5,310.35,119,189,CGR-NAT
GLO,AJU,BVB,2022,8,994.06,143,64,AJU-BVB
TAM,GYN,FLN,2023,10,183.42,124,53,GYN-FLN
GLO,VCP,CGB,2024,1,723.91,157,134,VCP-CGB
AZU,MCP,PVH,2022,3,394.44,188,129,MCP-PVH
VBL,NVT,CGH,2024,7,1063.77,139,183,NVT-CGH
PAM,CWB,GIG,2023,5,526.43,198,183,CWB-GIG
AZU,JPA,THE,2024,1,873.29,133,56,JPA-THE
AZU,NAT,BVB,2023,1,720.96,189,79,NAT-BVB
GLO,CGB,BVB,2024,12,417.34,125,80,CGB-BVB
VBL,BSB,RBR,2024,2,418.49,186,86,BSB-RBR
TAM,SLZ,FOR,2023,8,624.88,162,72,SLZ-FOR
GLO,MCP,BSB,2022,2,548.0,115,72,MCP-BSB
GLO,POA,MCZ,2022,9,1019.2,142,88,POA-MCZ
VBL,NVT,BVB,2024,11,888.64,183,157,NVT-BVB
PAM,NAT,AJU,2022,3,522.53,176,67,NAT-AJU
PAM,MCZ,BSB,2023,11,195.42,124,98,MCZ-BSB
TAM,JPA,GRU,2024,11,916.01,147,78,JPA-GRU
GLO,CGR,JPA,2023,4,364.23,154,178,CGR-JPA
GLO,CNF,NAT,2022,9,388.43,106,74,CNF-NAT
VBL,BEL,BEL,2024,7,838.12,146,70,BEL-BEL
AZU,FOR,BEL,2022,12,324.76,142,169,FOR-BEL
VBL,CGH,BEL,2022,1,1417.59,183,71,CGH-BEL
AZU,MCP,BVB,2024,6,327.15,102,100,MCP-BVB
AZU,PVH,SLZ,2022,1,344.72,140,89,PVH-SLZ
AZU,CGB,RBR,2024,7,312.89,127,145,CGB-RBR
AZU,CGR,SSA,2024,4,478.15,164,96,CGR-SSA
GLO,MCZ,NAT,2022,4,372.44,133,140,MCZ-NAT
GLO,SSA,BSB,2022,4,430.89,108,121,SSA-BSB
TAM,SLZ,BSB,2024,9,414.56,142,138,SLZ-BSB
GLO,CGB,CGH,2023,2,384.65,138,174,CGB-CGH
GLO,CGH,SLZ,2024,5,354.66,175,104,CGH-SLZ
GLO,CNF,CGR,2024,10,147.43,107,130,CNF-CGR
GLO,JPA,THE,2023,2,706.93,151,178,JPA-THE
TAM,BEL,GIG,2022,1,185.3,111,101,BEL-GIG
GLO,BVB,BVB,2022,12,1953.37,174,60,BVB-BVB
GLO,JPA,POA,2023,3,450.13,142,74,JPA-POA
TAM,PVH,POA,2024,10,399.29,115,170,PVH-POA
